Title,Date
"Las chicas del cable: Temporada final: Parte 1: Capítulo 36: El control","22/4/20"
"Las chicas del cable: Temporada final: Parte 1: Capítulo 35: El valor","19/4/20"
"MINDHUNTER: Temporada 2: Episodio 6","17/4/20"
"MINDHUNTER: Temporada 2: Episodio 5","17/4/20"
"MINDHUNTER: Temporada 2: Episodio 4","17/4/20"
"MINDHUNTER: Temporada 1: Episodio 2","17/4/20"
"La casa de papel: Parte 4: Plan París","14/4/20"
"La casa de papel: Parte 4: Tumbar la carpa","14/4/20"
"La casa de papel: Parte 4: KO técnico","14/4/20"
"La casa de papel: Parte 4: 5 minutos antes","14/4/20"
"La casa de papel: Parte 4: Suspiros de España","13/4/20"
"La casa de papel: Parte 4: Lección de anatomía","13/4/20"
"La casa de papel: Parte 4: La boda de Berlín","12/4/20"
"La casa de papel: Parte 4: Game Over","12/4/20"
"MINDHUNTER: Temporada 1: Episodio 1","12/4/20"
"La casa de papel: Parte 1: Episode 1","12/4/20"
"La casa de papel: El fenómeno","12/4/20"
"MINDHUNTER: Temporada 1: Episodio 3","12/4/20"
"Una historia real","11/4/20"
"Un juego de caballeros: Temporada 1: Episodio 5","10/4/20"
"Los últimos zares: Temporada 1: Guerra","9/4/20"
"Los últimos zares: Temporada 1: Anarquía","9/4/20"
"Los últimos zares: Temporada 1: El niño","9/4/20"
"Dude","9/4/20"
"Blue Jay","9/4/20"
"Un pequeño favor","31/3/20"
"El hoyo","28/3/20"
"Un juego de caballeros: Temporada 1: Episodio 4","28/3/20"
"Un juego de caballeros: Temporada 1: Episodio 3","28/3/20"
"Un juego de caballeros: Temporada 1: Episodio 2","28/3/20"
"Un juego de caballeros: Temporada 1: Episodio 1","27/3/20"
"Círculo","27/3/20"
"Love Is Blind: Temporada 1: ¿El amor es ciego?","27/3/20"
"Genius of the Modern World: Temporada 1: Nietzsche","27/3/20"
"Freud: Temporada 1: Represión","26/3/20"
"Freud: Temporada 1: Catarsis","26/3/20"
"Freud: Temporada 1: Regresión","26/3/20"
"Freud: Temporada 1: Deseo","26/3/20"
"Freud: Temporada 1: Tótem y tabú","26/3/20"
"Hogar","25/3/20"
"Freud: Temporada 1: Sonambulismo","25/3/20"
"Rétame: Temporada 1: Conmoción y pavor","25/3/20"
"Rétame: Temporada 1: Campo de batalla","25/3/20"
"Rétame: Temporada 1: Contención","25/3/20"
"Rétame: Temporada 1: Tierra abrasada","25/3/20"
"Rétame: Temporada 1: Código rojo","25/3/20"
"Freud: Temporada 1: Trauma","24/3/20"
"Freud: Temporada 1: Histeria","24/3/20"
"Rétame: Temporada 1: Trincheras paralelas","24/3/20"
"Rétame: Temporada 1: Acercamiento","23/3/20"
"La música del terremoto","23/3/20"
"El inocente","23/3/20"
